filename,case_name,citation,catchword,area_of_law,topic,subtopic,primary_statute,is_criminal,taxonomy_key,pdf_url
2016_SGHC_103.pdf,[2016] SGHC 103,[2016] SGHC 103,Criminal Procedure and Sentencing — Appeal — Plea of guilty,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_103/pdf
2016_SGHC_103.pdf,[2016] SGHC 103,[2016] SGHC 103,Criminal Procedure and Sentencing — Mitigation,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_103/pdf
2016_SGHC_101.pdf,[2016] SGHC 101,[2016] SGHC 101,Criminal Law — Statutory offences — Misuse of Drugs Act,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_101/pdf
2016_SGHC_94.pdf,[2016] SGHC 94,[2016] SGHC 94,Criminal Procedure and Sentencing — Sentencing — Principles,Criminal Law,Sentencing,Sentencing principles,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Principles,https://www.elitigation.sg/gd/gd/2016_SGHC_94/pdf
2016_SGHC_76.pdf,[2016] SGHC 76,[2016] SGHC 76,Criminal Law — Statutory offences — Misuse of Drugs Act — Illegally importing controlled drugs,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_76/pdf
2016_SGHC_76.pdf,[2016] SGHC 76,[2016] SGHC 76,Criminal Law — Statutory offences — Misuse of Drugs Act — Abetting the trafficking of controlled drugs through conspiracy,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_76/pdf
2016_SGCA_29.pdf,[2016] SGCA 29,[2016] SGCA 29,Courts and Jurisdiction — Court of Appeal — Power to reopen concluded criminal appeals,Criminal Procedure,Jurisdiction,General,Supreme Court of Judicature Act,True,Courts and Jurisdiction,https://www.elitigation.sg/gd/gd/2016_SGCA_29/pdf
2016_SGCA_29.pdf,[2016] SGCA 29,[2016] SGCA 29,Criminal Procedure and Sentencing — Adducing fresh evidence post-appeal,Criminal Procedure,General,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing,https://www.elitigation.sg/gd/gd/2016_SGCA_29/pdf
2016_SGHC_84.pdf,[2016] SGHC 84,[2016] SGHC 84,Criminal Procedure and Sentencing — Trials,Criminal Procedure,Trial,Trial procedure,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Trial,https://www.elitigation.sg/gd/gd/2016_SGHC_84/pdf
2016_SGHC_82.pdf,[2016] SGHC 82,[2016] SGHC 82,Criminal Law — Statutory offences — Customs Act,Criminal Law,Statutory offences,Customs Act,Customs Act,True,Criminal Law — Statutory offences — Customs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_82/pdf
2016_SGHC_82.pdf,[2016] SGHC 82,[2016] SGHC 82,Criminal Procedure and Sentencing — Sentencing — Benchmark sentences,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_82/pdf
2016_SGHC_82.pdf,[2016] SGHC 82,[2016] SGHC 82,Criminal Procedure and Sentencing — Sentencing — Principles,Criminal Law,Sentencing,Sentencing principles,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Principles,https://www.elitigation.sg/gd/gd/2016_SGHC_82/pdf
2016_SGHC_82.pdf,[2016] SGHC 82,[2016] SGHC 82,Criminal Procedure and Sentencing — Sentencing — Young offenders,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_82/pdf
2016_SGHC_73.pdf,[2016] SGHC 73,[2016] SGHC 73,Criminal Law — Statutory offences — Misuse of Drugs Act — Discretion of court not to impose sentence of death when offender was suffering from an abnormality of mind,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_73/pdf
2016_SGHC_78.pdf,[2016] SGHC 78,[2016] SGHC 78,Criminal Law — Offences — Property — Criminal breach of trust,Criminal Law,Property offences,Property offence,Penal Code,True,Criminal Law — Offences — Property,https://www.elitigation.sg/gd/gd/2016_SGHC_78/pdf
2016_SGHC_78.pdf,[2016] SGHC 78,[2016] SGHC 78,Criminal Law — Statutory offences — Penal Code,Criminal Law,Statutory offences,Penal Code,Penal Code,True,Criminal Law — Statutory offences — Penal Code,https://www.elitigation.sg/gd/gd/2016_SGHC_78/pdf
2016_SGHC_72.pdf,[2016] SGHC 72,[2016] SGHC 72,Criminal Procedure and Sentencing — Sentencing — Appeals,Criminal Law,Sentencing,Appeals against sentence,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing — Appeals,https://www.elitigation.sg/gd/gd/2016_SGHC_72/pdf
2016_SGHC_75.pdf,[2016] SGHC 75,[2016] SGHC 75,Criminal procedure and sentencing—Sentencing—Sexual Offences,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_75/pdf
2016_SGHC_71.pdf,[2016] SGHC 71,[2016] SGHC 71,Criminal Law — Offences — Murder,Criminal Law,Offences against person,Murder,Penal Code s 300,True,Criminal Law — Offences — Murder,https://www.elitigation.sg/gd/gd/2016_SGHC_71/pdf
2016_SGHC_71.pdf,[2016] SGHC 71,[2016] SGHC 71,Criminal Law — Offences — Culpable Homicide,Criminal Law,Offences against person,Culpable homicide,Penal Code s 299,True,Criminal Law — Offences — Culpable homicide,https://www.elitigation.sg/gd/gd/2016_SGHC_71/pdf
2016_SGHC_58.pdf,[2016] SGHC 58,[2016] SGHC 58,Criminal law - Offences - Culpable homicide,Criminal Law,Offences against person,Culpable homicide,Penal Code s 299,True,Criminal Law — Offences — Culpable homicide,https://www.elitigation.sg/gd/gd/2016_SGHC_58/pdf
2016_SGHC_61.pdf,[2016] SGHC 61,[2016] SGHC 61,Criminal Law — Statutory offences — Penal Code,Criminal Law,Statutory offences,Penal Code,Penal Code,True,Criminal Law — Statutory offences — Penal Code,https://www.elitigation.sg/gd/gd/2016_SGHC_61/pdf
2016_SGHC_61.pdf,[2016] SGHC 61,[2016] SGHC 61,Statutory Interpretation — Construction of statute — Literal,Statutory Interpretation,General,General,Interpretation Act,False,Statutory Interpretation,https://www.elitigation.sg/gd/gd/2016_SGHC_61/pdf
2016_SGHC_61.pdf,[2016] SGHC 61,[2016] SGHC 61,Statutory Interpretation — Interpretation Act — Purposive approach,Statutory Interpretation,Interpretation Act,General,Interpretation Act,False,Statutory Interpretation — Interpretation Act,https://www.elitigation.sg/gd/gd/2016_SGHC_61/pdf
2016_SGHC_59.pdf,[2016] SGHC 59,[2016] SGHC 59,Criminal Procedure and Sentencing — Sentencing — Benchmark sentences,Criminal Law,Sentencing,General,Criminal Procedure Code 2010,True,Criminal Procedure and Sentencing — Sentencing,https://www.elitigation.sg/gd/gd/2016_SGHC_59/pdf
2016_SGHC_56.pdf,[2016] SGHC 56,[2016] SGHC 56,Criminal Law — Statutory offences — Misuse of Drugs Act,Criminal Law,Statutory offences,Misuse of Drugs Act,Misuse of Drugs Act,True,Criminal Law — Statutory offences — Misuse of Drugs Act,https://www.elitigation.sg/gd/gd/2016_SGHC_56/pdf
2016_SGHC_56.pdf,[2016] SGHC 56,[2016] SGHC 56,Evidence — Witnesses — Corroboration,Evidence,Witnesses,Witness testimony,Evidence Act,False,Evidence — Witnesses,https://www.elitigation.sg/gd/gd/2016_SGHC_56/pdf
